epoch: 0	train ppl: 526.3069389904435	val ppl: 242.47562873732318	best val: 242.47562873732318	time (s) spent in epoch: 33.74233055114746
epoch: 1	train ppl: 185.2395075404229	val ppl: 164.83746235713141	best val: 164.83746235713141	time (s) spent in epoch: 32.927897691726685
epoch: 2	train ppl: 124.27172263551972	val ppl: 139.76457040708772	best val: 139.76457040708772	time (s) spent in epoch: 32.57192277908325
epoch: 3	train ppl: 94.22458452983291	val ppl: 130.142111451678	best val: 130.142111451678	time (s) spent in epoch: 33.045506954193115
epoch: 4	train ppl: 75.66768787620563	val ppl: 126.62139146257348	best val: 126.62139146257348	time (s) spent in epoch: 32.915839433670044
epoch: 5	train ppl: 62.94760056035459	val ppl: 129.0542668285806	best val: 126.62139146257348	time (s) spent in epoch: 34.02864050865173
epoch: 6	train ppl: 53.39736523463054	val ppl: 132.92421368087963	best val: 126.62139146257348	time (s) spent in epoch: 33.791539430618286
epoch: 7	train ppl: 45.90692584770745	val ppl: 137.990420194222	best val: 126.62139146257348	time (s) spent in epoch: 34.20809745788574
epoch: 8	train ppl: 40.06723185114995	val ppl: 144.14958243201696	best val: 126.62139146257348	time (s) spent in epoch: 33.223679542541504
epoch: 9	train ppl: 35.40619320300617	val ppl: 154.08375248121789	best val: 126.62139146257348	time (s) spent in epoch: 33.03817534446716
epoch: 10	train ppl: 31.592005319919632	val ppl: 163.67228465202618	best val: 126.62139146257348	time (s) spent in epoch: 33.03240203857422
epoch: 11	train ppl: 28.445202467526585	val ppl: 175.8344909623503	best val: 126.62139146257348	time (s) spent in epoch: 34.09891939163208
epoch: 12	train ppl: 25.83277020179153	val ppl: 188.31295707570465	best val: 126.62139146257348	time (s) spent in epoch: 33.480541706085205
epoch: 13	train ppl: 23.628563492754786	val ppl: 201.1958471436623	best val: 126.62139146257348	time (s) spent in epoch: 33.16848969459534
epoch: 14	train ppl: 21.747144398003684	val ppl: 215.26403092497574	best val: 126.62139146257348	time (s) spent in epoch: 33.27956223487854
epoch: 15	train ppl: 20.0892919430793	val ppl: 231.82926147737464	best val: 126.62139146257348	time (s) spent in epoch: 33.50091624259949
epoch: 16	train ppl: 18.69825740509782	val ppl: 248.5032658536094	best val: 126.62139146257348	time (s) spent in epoch: 32.983933448791504
epoch: 17	train ppl: 17.506995488997333	val ppl: 264.6586628784285	best val: 126.62139146257348	time (s) spent in epoch: 33.333219051361084
epoch: 18	train ppl: 16.463889157901153	val ppl: 282.17134526164625	best val: 126.62139146257348	time (s) spent in epoch: 32.730364084243774
epoch: 19	train ppl: 15.58080162115421	val ppl: 300.7870104359534	best val: 126.62139146257348	time (s) spent in epoch: 33.1123571395874
epoch: 20	train ppl: 14.78772391845244	val ppl: 323.12094206393795	best val: 126.62139146257348	time (s) spent in epoch: 32.96495842933655
epoch: 21	train ppl: 14.092791047754002	val ppl: 342.78416161495323	best val: 126.62139146257348	time (s) spent in epoch: 33.70665121078491
epoch: 22	train ppl: 13.458665288344525	val ppl: 365.4797948595381	best val: 126.62139146257348	time (s) spent in epoch: 33.440120697021484
epoch: 23	train ppl: 12.922942499917795	val ppl: 385.8077825693309	best val: 126.62139146257348	time (s) spent in epoch: 33.41531944274902
epoch: 24	train ppl: 12.436493974595033	val ppl: 406.2336971938754	best val: 126.62139146257348	time (s) spent in epoch: 33.9677619934082
epoch: 25	train ppl: 11.943602936218436	val ppl: 431.1333000817748	best val: 126.62139146257348	time (s) spent in epoch: 33.2795090675354
epoch: 26	train ppl: 11.553586663015	val ppl: 453.92931201483646	best val: 126.62139146257348	time (s) spent in epoch: 33.825193881988525
epoch: 27	train ppl: 11.170878386629795	val ppl: 475.39291661281794	best val: 126.62139146257348	time (s) spent in epoch: 32.92241048812866
epoch: 28	train ppl: 10.832426142221784	val ppl: 496.1431346205922	best val: 126.62139146257348	time (s) spent in epoch: 33.75198292732239
epoch: 29	train ppl: 10.533551041709314	val ppl: 522.0375900587362	best val: 126.62139146257348	time (s) spent in epoch: 33.83249640464783
epoch: 30	train ppl: 10.220039257590688	val ppl: 544.8673124364373	best val: 126.62139146257348	time (s) spent in epoch: 32.91402339935303
epoch: 31	train ppl: 9.976082894393091	val ppl: 564.3833569975473	best val: 126.62139146257348	time (s) spent in epoch: 33.76259422302246
epoch: 32	train ppl: 9.706385281800037	val ppl: 596.2455963240145	best val: 126.62139146257348	time (s) spent in epoch: 32.10071086883545
epoch: 33	train ppl: 9.495062254881889	val ppl: 613.6397665066555	best val: 126.62139146257348	time (s) spent in epoch: 31.749024391174316
epoch: 34	train ppl: 9.30018595106704	val ppl: 643.6619946550593	best val: 126.62139146257348	time (s) spent in epoch: 31.719045400619507
epoch: 35	train ppl: 9.078490014007134	val ppl: 666.1349218583513	best val: 126.62139146257348	time (s) spent in epoch: 31.671399354934692
epoch: 36	train ppl: 8.916131917643844	val ppl: 700.3488175604954	best val: 126.62139146257348	time (s) spent in epoch: 31.69246768951416
epoch: 37	train ppl: 8.743418581590849	val ppl: 722.0670353881972	best val: 126.62139146257348	time (s) spent in epoch: 31.886354446411133
epoch: 38	train ppl: 8.583288067804954	val ppl: 748.5008981572225	best val: 126.62139146257348	time (s) spent in epoch: 32.00138068199158
epoch: 39	train ppl: 8.442854236167856	val ppl: 777.911502037306	best val: 126.62139146257348	time (s) spent in epoch: 31.89515447616577
